Name                          Total    Bin.1,    Bin.2,
BBa_J23108--BBa_J61119         8261      5011      3250
apFAB312--BBa_J61103           8258      4928      3330
apFAB312--BBa_J61124           8213      4926      3287
BBa_J23103--apFAB872           8203      4909      3294
apFAB124--BBa_J61124           8200      4809      3391
BBa_J23117--apFAB844           8199      4961      3238
apFAB94--DeadRBS               8195      4848      3347
BBa_J23117--apFAB843           8194      5029      3165
apFAB300--BBa_J61125           8193      4869      3324
BBa_J23116--apFAB857           8172      4837      3335
apFAB300--apFAB854             8168      4870      3298
BBa_J23117--apFAB857           8165      4966      3199
BBa_J23115--apFAB903           8159      4954      3205
apFAB311--apFAB831             8156      4937      3219
BBa_J23103--BBa_J61100         8152      4877      3275
apFAB311--apFAB867             8141      4898      3243
BBa_J23113--apFAB843           8132      4888      3244
apFAB312--BBa_J61132           8124      4824      3300
BBa_J23108--apFAB904           8122      4864      3258
apFAB109--apFAB954             8121      4826      3295
BBa_J23118--BBa_J61130         8112      4917      3195
BBa_J23109--apFAB843           8110      4846      3264
BBa_J23109--BBa_J61119         8098      4842      3256
BBa_J23118--BBa_J61128         8091      4944      3147
apFAB104--BBa_J61108           8089      4892      3197
apFAB109--apFAB868             8080      4763      3317
BBa_J23109--BBa_J61134         8076      4842      3234
apFAB124--BBa_J61130           8069      4736      3333
apFAB114--BBa_J61125           8067      4753      3314
apFAB114--BBa_J61112           8054      4729      3325
BBa_J23115--apFAB862           8053      4942      3111
BBa_J23105--apFAB904           8042      4881      3161
BBa_J23117--BBa_J61108         8019      4924      3095
apFAB306--apFAB869             8009      4802      3207
apFAB109--apFAB901             8009      4748      3261
apFAB109--apFAB851             8009      4792      3217
apFAB311--apFAB909             7996      4849      3147
apFAB109--BBa_J61132           7974      4804      3170
apFAB109--BBa_J61111           7971      4675      3296
BBa_J23109--apFAB857           7969      4721      3248
apFAB104--apFAB890             7968      4837      3131
apFAB312--BBa_J61131           7961      4842      3119
BBa_J23109--BBa_J61127         7956      4650      3306
apFAB64--BBa_J61124            7936      4834      3102
apFAB259--BBa_J61110           7931      4791      3140
BBa_J23108--BBa_J61110         7927      4604      3323
BBa_J23115--BBa_J61113         7924      4794      3130
BBa_J23103--apFAB884           7924      4758      3166
apFAB312--apFAB872             7910      4781      3129
apFAB259--apFAB834             7908      4809      3099
apFAB311--apFAB843             7908      4717      3191
BBa_J23115--apFAB883           7901      4647      3254
apFAB311--BBa_J61128           7894      4797      3097
BBa_J23108--apFAB845           7887      4709      3178
apFAB114--apFAB848             7885      4666      3219
BBa_J23103--BBa_J61103         7885      4798      3087
BBa_J23109--apFAB903           7881      4670      3211
apFAB114--apFAB869             7873      4703      3170
apFAB346--apFAB843             7872      4631      3241
BBa_J23118--apFAB844           7872      4779      3093
apFAB104--apFAB833             7870      4709      3161
apFAB125--apFAB872             7869      4743      3126
BBa_J23117--apFAB917           7864      4822      3042
BBa_J23113--apFAB954           7858      4707      3151
apFAB321--BBa_J61124           7855      4748      3107
BBa_J23108--apFAB857           7854      4627      3227
apFAB55--BBa_J61120            7828      4563      3265
BBa_J23108--apFAB865           7826      4779      3047
apFAB342--apFAB871             7819      4634      3185
BBa_J23104--apFAB864           7817      4679      3138
apFAB259--apFAB876             7807      4738      3069
apFAB109--apFAB837             7805      4709      3096
BBa_J23113--BBa_J61108         7796      4732      3064
apFAB109--BBa_J61103           7786      4647      3139
apFAB317--apFAB872             7774      4530      3244
BBa_J23116--BBa_J61132         7772      4746      3026
apFAB312--apFAB821             7763      4622      3141
BBa_J23103--apFAB910           7761      4661      3100
BBa_J23103--apFAB901           7759      4721      3038
apFAB259--apFAB862             7752      4673      3079
apFAB312--BBa_J61125           7751      4744      3007
apFAB259--apFAB954             7747      4671      3076
BBa_J23115--apFAB826           7747      4752      2995
BBa_J23108--apFAB895           7743      4604      3139
apFAB259--BBa_J61118           7728      4710      3018
BBa_J23109--BBa_J61101         7725      4685      3040
BBa_J23117--apFAB876           7717      4747      2970
apFAB114--BBa_J61128           7713      4493      3220
apFAB259--apFAB903             7712      4658      3054
BBa_J23103--BBa_J61127         7709      4567      3142
apFAB124--apFAB876             7702      4569      3133
apFAB124--apFAB917             7702      4607      3095
apFAB109--apFAB883             7699      4559      3140
BBa_J23117--apFAB845           7692      4729      2963
apFAB311--apFAB964             7689      4679      3010
apFAB104--BBa_J61119           7664      4665      2999
BBa_J23117--BBa_J61130         7656      4677      2979
BBa_J23109--BBa_J61108         7654      4624      3030
apFAB130--DeadRBS              7642      4595      3047
apFAB302--apFAB844             7640      4643      2997
apFAB300--BBa_J61136           7639      4530      3109
BBa_J23108--BBa_J61109         7638      4621      3017
apFAB125--BBa_J61120           7636      4594      3042
apFAB134--GSG_RBS              7635      4663      2972
BBa_J23115--apFAB845           7627      4603      3024
BBa_J23102--BBa_J61134         7627      4564      3063
apFAB300--BBa_J61124           7624      4517      3107
BBa_J23115--Alon_RBS           7623      4502      3121
BBa_J23115--apFAB901           7610      4539      3071
BBa_J23115--apFAB827           7599      4567      3032
BBa_J23109--apFAB844           7595      4545      3050
BBa_J23115--BBa_J61131         7592      4498      3094
BBa_J23116--BBa_J61119         7589      4600      2989
apFAB338--apFAB864             7582      4372      3210
BBa_J23115--apFAB821           7567      4552      3015
BBa_J23115--apFAB954           7564      4523      3041
apFAB104--BBa_J61129           7557      4597      2960
apFAB149--B0034_RBS            7552      4509      3043
BBa_J23104--BBa_J61118         7552      4516      3036
BBa_J23109--BBa_J61125         7550      4716      2834
apFAB75--BBa_J61134            7550      4481      3069
BBa_J23115--BBa_J61118         7548      4530      3018
